source,target,sentence,document,relationship_type
Boss,Se,"My hope was Negroponte being in  the UN 
Secretariat would do damage control and get somehow  the Boss to 
address the problem, in the best interest of the Se cretary 
General.  ",24.pdf,contextual
Mzumara,US,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf,contextual
US,ECA,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf,contextual
UN Regulations,Organization,"He said that after he received a copy of that commu nication 
through email, he wrote to the staff member and adv ised him that 
it was contrary to UN Regulations for him to commun icate with 
persons external to the Organization.  ",24.pdf,contextual
"Oluwatete 
Olokodana",Vintzis,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf,contextual
Vintzis,Stokykov,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf,contextual
Stokykov,Facilities Management Section,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf,contextual
Howev,Stoykov,"Howev er, in the 
presence of Mr. Stoykov, he recalled that the femal e staff 
member complained to the manager that she was not f eeling well 
whilst they were having lunch.  
 
",24.pdf,contextual
OIOS,Stoykov,"OIOS interviewed Mr. Stoykov who said that such an incident 
did not occur.",24.pdf,contextual
al systems,OHRMS,"When asked 
why she had not engaged the various possible intern al systems, 
including OHRMS to have the issue resolved, she sta ted that she 
had not pursued the issue because she did not know how to 
approach it.",24.pdf,contextual
ECA,United Nations,"The female staff member left the employ ment of ECA 
some two years ago and has never taken any steps to  engage any 
United Nations system options to pursue her complai nt. 
 
24.  ",24.pdf,contextual
Olokodana,Stoy,"Both Mr. Olokodana and Mr. Stoy kov whom she 
claimed witnessed the incident deny that any incide nt occurred 
and reported a substantially different exchange. 
 
",24.pdf,contextual
Bongoy – Mawalla,OIOS,"Ms. Bongoy – Mawalla, Chief General Services Sectio n 
explained to OIOS that she was the focal point for women until 
July 2003.  ",24.pdf,contextual
OIOS,Ali Todaro,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf,contextual
Ali Todaro,Specia,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf,contextual
Specia,Executive,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf,contextual
Executive,ECA,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf,contextual
US,Negroponte,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf,contextual
Negroponte,Bush,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf,contextual
Bush,Cheney,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf,contextual
Negroponte,Boss,"My h ope was 
Negroponte being in the UN Secretariat would do dam age control 
and get somehow the Boss to address the problem, in  the best 
interest of the Secretary General.  ",24.pdf,contextual
the OIOS Investigators,Organization,"During interviews with the OIOS Investigators, by h is own 
admission, the staff member confirmed communicating  to persons 
outside the Organization.  ",24.pdf,contextual
ECA,ECA,"He did not inform ECA ma nagement 
arguing that the ECA internal justice system had co llapsed.  
",24.pdf,contextual
US,Negroponte,"He sought 
intervention from US Ambassador Negroponte and othe r persons who 
were external to the Organization.  ",24.pdf,contextual
Negroponte,Organization,"He sought 
intervention from US Ambassador Negroponte and othe r persons who 
were external to the Organization.  ",24.pdf,contextual
Office of Legal Affairs,OLA,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf,contextual
OLA,Organization,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf,contextual
Organization,UN,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf,contextual
STRICTLY,ECA,"NO. 0202/01 
 
 
 
 
 
 
 
 
 
20 April 2005 
 
 
 STRICTLY CONFIDENTIAL  
 2 REPORT INTO THE ALLEGATION THAT AN ECONOMIC COMMISSION OF AFRICA (ECA)  
STAFF MEMBER MISAPPROPRIATED MONEY INTENDED AS DAILY SUBSISTENCE 
ALLOWANCE (DSA)  ",26.pdf,contextual
"The Investigations Division, Office of Internal Ove rsight Services",an Economic Commission of  Africa,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf,contextual
an Economic Commission of  Africa,ECA,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf,contextual
ECA,Seychelles,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf,contextual
Financial Rule 104.9,ST/SGB/2003/7,"Financial Rule 104.9 (ST/SGB/2003/7)  
 
Officials to whom cash advances are issued shall be  held personally accountable and 
financially liable for the proper management and sa fekeeping of cash so advanced and 
must be in a position to account for these advances  at all times.",26.pdf,contextual
Eastern,Southern Africa Sub Regional Meeting,"ID/OIOS determined that the conference in question was “An Eastern and 
Southern Africa Sub Regional Meeting” and was held from 15 to 18 February, 1999 at 
the Berjaja Mahe Beach Resort Hotel in Victoria, Se ychelles.",26.pdf,contextual
Southern Africa Sub Regional Meeting,Victoria,"ID/OIOS determined that the conference in question was “An Eastern and 
Southern Africa Sub Regional Meeting” and was held from 15 to 18 February, 1999 at 
the Berjaja Mahe Beach Resort Hotel in Victoria, Se ychelles.",26.pdf,contextual
"the 
African Centre for Women",the African Cen,"It was organized by the 
African Centre for Women (ACW), now the African Cen tre for Gender Development 
(ACGD).  
 
",26.pdf,contextual
the African Cen,Gender Development,"It was organized by the 
African Centre for Women (ACW), now the African Cen tre for Gender Development 
(ACGD).  
 
",26.pdf,contextual
the Integrated Management Informat ion System,IMIS,"It is 
then recorded in the Integrated Management Informat ion System (IMIS), which 
demonstrates approval of the request.  ",26.pdf,contextual
UNDP,the Finance Division,"A letter to UNDP referencing the PT.8 number and 
account number is prepared and the Finance Division  approves that letter before it is sent 
to UNDP for payment to be made to the attendee.  
 
",26.pdf,contextual
the Finance Division,UNDP,"A letter to UNDP referencing the PT.8 number and 
account number is prepared and the Finance Division  approves that letter before it is sent 
to UNDP for payment to be made to the attendee.  
 
",26.pdf,contextual
ECA,UNDP,"Typically when ECA sponsors a conference, it arrang es with the UNDP office in 
the country in which the conference is held to pay DSA to participants.",26.pdf,contextual
UNDP,DSA,"Typically when ECA sponsors a conference, it arrang es with the UNDP office in 
the country in which the conference is held to pay DSA to participants.",26.pdf,contextual
UNDP,DSA,"Consequently the airfares and 50 per cent of DSA 
were paid to participants by UNDP offices in each p articipant’s country and the ACGD 
Officer was entrusted with the payment of the remai ning 50 per cent of DSA to 
participants while they were at the conference.  ",26.pdf,contextual
UNDP,IOV,"Wh en UNDP makes its payments, it 
sends an inter-office voucher (IOV) to ECA indicati ng the amount of money they have 
spent and ECA reimburses UNDP.",26.pdf,contextual
IOV,ECA,"Wh en UNDP makes its payments, it 
sends an inter-office voucher (IOV) to ECA indicati ng the amount of money they have 
spent and ECA reimburses UNDP.",26.pdf,contextual
ECA,ECA,"Wh en UNDP makes its payments, it 
sends an inter-office voucher (IOV) to ECA indicati ng the amount of money they have 
spent and ECA reimburses UNDP.",26.pdf,contextual
ECA,UNDP,"Wh en UNDP makes its payments, it 
sends an inter-office voucher (IOV) to ECA indicati ng the amount of money they have 
spent and ECA reimburses UNDP.",26.pdf,contextual
DSA,UNDP,"If the DSA was not pa id and ticket not issued by 
UNDP, then an IOV credit is sent to the Finance Div ision.",26.pdf,contextual
UNDP,IOV,"If the DSA was not pa id and ticket not issued by 
UNDP, then an IOV credit is sent to the Finance Div ision.",26.pdf,contextual
IOV,Finance,"If the DSA was not pa id and ticket not issued by 
UNDP, then an IOV credit is sent to the Finance Div ision.",26.pdf,contextual
UNDP,IOV,"Cancellation of a PT.8 
indicates that that person did not attend the confe rence, and the UNDP office in question 
would then issue an IOV credit to ECA.   
 
 
",26.pdf,contextual
IOV,ECA,"Cancellation of a PT.8 
indicates that that person did not attend the confe rence, and the UNDP office in question 
would then issue an IOV credit to ECA.   
 
 
",26.pdf,contextual
Partici,Participant 2,"The attendance list 
showed that the PT.8’s in question were for Partici pant 1, Participant 2 and Participant 3. 
 
12.",26.pdf,contextual
UNDP,Mauritius,"(b) A letter dated 8 March 2000 from Official 7 of UNDP office in Mauritius, 
confirmed that the ACGD Officer received US$49,000:  US$44,000 of which was to pay 
50 per cent DSA to participants.  
 
",26.pdf,contextual
Mauritius,ACGD,"(b) A letter dated 8 March 2000 from Official 7 of UNDP office in Mauritius, 
confirmed that the ACGD Officer received US$49,000:  US$44,000 of which was to pay 
50 per cent DSA to participants.  
 
",26.pdf,contextual
ECA,UNDP,"Official 2 
stated that the funds transferred to Seychelles by ECA were managed by herself, the 
ACGD Officer and the UNDP Officer in Port Louis, Sey chelles.",26.pdf,contextual
UNDP,Port Louis,"Official 2 
stated that the funds transferred to Seychelles by ECA were managed by herself, the 
ACGD Officer and the UNDP Officer in Port Louis, Sey chelles.",26.pdf,contextual
DSA,chao s,"She further stated that 
the amount transferred to pay the remaining 50 per cent of DSA was only made available 
after the end of the conference, which created chao s in paying participants before their 
departures.",26.pdf,contextual
Barclays,US,"In addition, Barclays did not have suff icient smaller US denominations and 
proposed the use of French francs.",26.pdf,contextual
DSA,DSA,"He also received US$22,000 in notes late 18 February 1999, 
US$3,327 in notes and US$3,300 in travellers’ chequ es early on 19 February 1999 to 
facilitate the payment of DSA;  
 
(b) Payment of DSA was handled directly by Barclays ’ representative in the 
presence of UNDP Liaison Officer Lucas and the ACGD Officer; and 
 
(c) The bank tellers directly paid participants US$ 12,173.",26.pdf,contextual
DSA,UNDP,"He also received US$22,000 in notes late 18 February 1999, 
US$3,327 in notes and US$3,300 in travellers’ chequ es early on 19 February 1999 to 
facilitate the payment of DSA;  
 
(b) Payment of DSA was handled directly by Barclays ’ representative in the 
presence of UNDP Liaison Officer Lucas and the ACGD Officer; and 
 
(c) The bank tellers directly paid participants US$ 12,173.",26.pdf,contextual
ID/OIO S,DSA,"When interviewed the ACGD Officer told ID/OIO S that Official 2 had asked him 
to pay miscellaneous expenses and DSA to the partic ipants of the Seychelles conference.  
",26.pdf,contextual
ECA,UNDP,"He said that ECA had written to UNDP Mauritius, who asked UNDP HQ for authority to 
transfer funds to Barclays in Seychelles.",26.pdf,contextual
UNDP,UNDP,"He said that ECA had written to UNDP Mauritius, who asked UNDP HQ for authority to 
transfer funds to Barclays in Seychelles.",26.pdf,contextual
UNDP,Barclays in Seychelles,"He said that ECA had written to UNDP Mauritius, who asked UNDP HQ for authority to 
transfer funds to Barclays in Seychelles.",26.pdf,contextual
ACGD,DSA,"The ACGD Officer confirmed that it was his re sponsibility to ensure that 
participants received their DSA and signed their na mes against the attendance list upon 
receipt of their DSA.",26.pdf,contextual
DSA,DSA,"The ACGD Officer confirmed that it was his re sponsibility to ensure that 
participants received their DSA and signed their na mes against the attendance list upon 
receipt of their DSA.",26.pdf,contextual
ID/OIOS Investigators,Participant 1,"ID/OIOS Investigators observed that the PT.8’ s for Participant 1, Participant 2 
and Participant 3 were all cancelled after the conf erence by Official 2.    
 
23.       ",26.pdf,contextual
ACGD,ed PT.8’s,"ID/OIOS showed the ACGD Officer three cancell ed PT.8’s. 
 
",26.pdf,contextual
DSA,Participant 2,"Upon 
seeing a signature against this name (but no asteri sk) as having received US$943 in DSA, 
he said that it was a mistake similar to that of th e case of Participant 2.   
 
",26.pdf,contextual
DSA,DSA,"The ACGD Officer explained these discrepancie s by suggesting that a bank 
employee might have tampered with the DSA list and forged signatures of participants 
who did not attend and then pocketed their DSA.",26.pdf,contextual
ID/OIO S,UNDP,"ID/OIO S also attempted to locate the 
UNDP Officer, but the UNDP Liaison office had been c losed in 1999 and attempts to 
locate her through other UNDP contacts proved futile .  ",26.pdf,contextual
UNDP,UNDP,"ID/OIO S also attempted to locate the 
UNDP Officer, but the UNDP Liaison office had been c losed in 1999 and attempts to 
locate her through other UNDP contacts proved futile .  ",26.pdf,contextual
UNDP,Liaison,"ID/OIO S also attempted to locate the 
UNDP Officer, but the UNDP Liaison office had been c losed in 1999 and attempts to 
locate her through other UNDP contacts proved futile .  ",26.pdf,contextual
Liaison,UNDP,"ID/OIO S also attempted to locate the 
UNDP Officer, but the UNDP Liaison office had been c losed in 1999 and attempts to 
locate her through other UNDP contacts proved futile .  ",26.pdf,contextual
Participant,Participant 2,"ID/OIOS reviewed the list included in the Report an d noted that the names of Participant 
1, Participant 2 and Participant 3 were not include d.  
 
30.      ",26.pdf,contextual
ID Investigato,ACGD,"However when ID Investigato rs showed the ACGD Officer 
Barclays’ documents with his signature, indicating that he had received US$22,000, he 
admitted that it was his signature and that he had in fact received US$22,000 from the 
bank for payment of DSA.",26.pdf,contextual
ACGD,DSA,"However when ID Investigato rs showed the ACGD Officer 
Barclays’ documents with his signature, indicating that he had received US$22,000, he 
admitted that it was his signature and that he had in fact received US$22,000 from the 
bank for payment of DSA.",26.pdf,contextual
Direc,PPFD,"Subsequently, instruction was given by the Direc tor of PPFD to close the account with 
the submitted supporting documents.  
 
",26.pdf,contextual
ACGD,DSA,"In 
that memorandum the ACGD Officer confirmed that DSA  was paid to the bearers of the 
five PT.8 numbers to which Official 4 referred.",26.pdf,contextual
DSA,Officia,"He agreed that payment of DSA to non-
attendees was a serious matter, but, as had Officia l 2, placed the blame on Barclays, 
claiming that the bank had paid the DSAs.  
  
",26.pdf,contextual
Officia,Barclays,"He agreed that payment of DSA to non-
attendees was a serious matter, but, as had Officia l 2, placed the blame on Barclays, 
claiming that the bank had paid the DSAs.  
  
",26.pdf,contextual
the ACGD Office,Barclays,"ID/OIOS observed that Official 2 and the ACGD  Officer stated in their joint 
memorandum of 18 February 2000 that the ACGD Office r had paid some participants 
DSA and Barclays paid the rest.  ",26.pdf,contextual
Offi,DSA,"However, both Offi cial 2 and the ACGD Officer when 
interviewed, and the ACGD Officer in his memorandum  of 24 March 2000, claimed 
Barclays had paid all the DSA.  
  
",26.pdf,contextual
Offici,explana tions,"In memorandum dated 13 April 2000 from Offici al 3 to Official 4, Official 3 
recommended that an independent investigation be co nducted into the matter because 
despite requests for more documentation and explana tions, the ACGD Officer did not 
properly account for the expenses of the meeting.    
 
 
",26.pdf,contextual
DSA,Participant 3,"The attendance  list used for payment of DSA had no 
asterisk against the name of Participant 3 and Part icipant 2 (indicating that the Barclays 
had “paid” them), but there was an asterisk against  the name of Participant 1 - a system 
devised by the ACGD Officer which was used by him t o indicate that he had made a 
specific payment, in this instance indicating that the ACGD Officer had “paid” her [see 
paragraph 18].    
 
",26.pdf,contextual
Participant 3,Barclays,"The attendance  list used for payment of DSA had no 
asterisk against the name of Participant 3 and Part icipant 2 (indicating that the Barclays 
had “paid” them), but there was an asterisk against  the name of Participant 1 - a system 
devised by the ACGD Officer which was used by him t o indicate that he had made a 
specific payment, in this instance indicating that the ACGD Officer had “paid” her [see 
paragraph 18].    
 
",26.pdf,contextual
"the 
Bank",Bank,"First, he acknowledges that he witnessed the payments made by the 
Bank; second, while the Bank may have performed thi s service for him, he retained 
responsibility for the accounting for the funds giv en to him; third, nowhere else had The 
 10  ACGD Officer claimed that the bank staff took the f unds until he was questioned by 
Investigators including at the time the disbursemen ts were made and later when 
questioned about the discrepancies by ECA managers.  
 
",26.pdf,contextual
Bank,ECA,"First, he acknowledges that he witnessed the payments made by the 
Bank; second, while the Bank may have performed thi s service for him, he retained 
responsibility for the accounting for the funds giv en to him; third, nowhere else had The 
 10  ACGD Officer claimed that the bank staff took the f unds until he was questioned by 
Investigators including at the time the disbursemen ts were made and later when 
questioned about the discrepancies by ECA managers.  
 
",26.pdf,contextual
ACGD,DSA,"Issue 3:  Did the ACGD Officer keep proper records of payment of DSA and other 
conference expenses as required by Financial Rule 1 04.10 (b) and (c)?  
 
40.      ",26.pdf,contextual
DSA,Financial Rule,"Issue 3:  Did the ACGD Officer keep proper records of payment of DSA and other 
conference expenses as required by Financial Rule 1 04.10 (b) and (c)?  
 
40.      ",26.pdf,contextual
DSA,United Nations,"By the ACGD Officer’s admission in paragra ph 27, payments of DSA at the 
conference were chaotic and there could have been e rrors for which he bears full 
responsibility as the person assigned to make the d isbursement of these United Nations 
funds.  ",26.pdf,contextual
United Nations,Klaus Toepfer,"United Nations Nations Unies 
INTEROFFICE MEMORANDUM MEMORANDUM INTERIEUR 
TO: Mr. Klaus Toepfer, Executive Director DATE:",27.pdf,contextual
United Nations Environment Programme,Barbara Dixon,"A: United Nations Environment Programme REFERENCE: OUSG 05-226 
THROUGH: 
SIC DE: 
FROM: Barbara Dixon, Officer-in-Charge 
DE: Office of Internal Oversight Services 
SUBJECT Allegations of misconduct occurring in the Post-Conflict Assessment Unit 
(PCAU) of the United Nations Environmental Programme (UNEP) - 
ID Case No. 0374103 
OBJET: 
1.",27.pdf,contextual
Barbara Dixon,"Office of Internal Oversight Services 
SUBJECT Allegations","A: United Nations Environment Programme REFERENCE: OUSG 05-226 
THROUGH: 
SIC DE: 
FROM: Barbara Dixon, Officer-in-Charge 
DE: Office of Internal Oversight Services 
SUBJECT Allegations of misconduct occurring in the Post-Conflict Assessment Unit 
(PCAU) of the United Nations Environmental Programme (UNEP) - 
ID Case No. 0374103 
OBJET: 
1.",27.pdf,contextual
"Office of Internal Oversight Services 
SUBJECT Allegations",the Post-Conflict Assessment Unit,"A: United Nations Environment Programme REFERENCE: OUSG 05-226 
THROUGH: 
SIC DE: 
FROM: Barbara Dixon, Officer-in-Charge 
DE: Office of Internal Oversight Services 
SUBJECT Allegations of misconduct occurring in the Post-Conflict Assessment Unit 
(PCAU) of the United Nations Environmental Programme (UNEP) - 
ID Case No. 0374103 
OBJET: 
1.",27.pdf,contextual
the Post-Conflict Assessment Unit,the United Nations Environmental Programme,"A: United Nations Environment Programme REFERENCE: OUSG 05-226 
THROUGH: 
SIC DE: 
FROM: Barbara Dixon, Officer-in-Charge 
DE: Office of Internal Oversight Services 
SUBJECT Allegations of misconduct occurring in the Post-Conflict Assessment Unit 
(PCAU) of the United Nations Environmental Programme (UNEP) - 
ID Case No. 0374103 
OBJET: 
1.",27.pdf,contextual
the United Nations Environmental Programme,UNEP,"A: United Nations Environment Programme REFERENCE: OUSG 05-226 
THROUGH: 
SIC DE: 
FROM: Barbara Dixon, Officer-in-Charge 
DE: Office of Internal Oversight Services 
SUBJECT Allegations of misconduct occurring in the Post-Conflict Assessment Unit 
(PCAU) of the United Nations Environmental Programme (UNEP) - 
ID Case No. 0374103 
OBJET: 
1.",27.pdf,contextual
The Investigations Division of the Office of Internal Oversight Services,the Balkans Task Force,"The Investigations Division of the Office of Internal Oversight Services 
(ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and 
in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment 
Programme (UNEP).",27.pdf,contextual
the Balkans Task Force,BTF,"The Investigations Division of the Office of Internal Oversight Services 
(ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and 
in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment 
Programme (UNEP).",27.pdf,contextual
BTF,the Post-Conflict Assessment Unit (PCAU,"The Investigations Division of the Office of Internal Oversight Services 
(ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and 
in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment 
Programme (UNEP).",27.pdf,contextual
the Post-Conflict Assessment Unit (PCAU,"the United Nations Environment 
Programme","The Investigations Division of the Office of Internal Oversight Services 
(ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and 
in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment 
Programme (UNEP).",27.pdf,contextual
"the United Nations Environment 
Programme",UNEP,"The Investigations Division of the Office of Internal Oversight Services 
(ID/OIOS) received a report of alleged wrongdoing in the Balkans Task Force (BTF) and 
in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment 
Programme (UNEP).",27.pdf,contextual
UNEP Staff,UNEPIPCAU Consultant,"The complaints are against two UNEP Staff Members, and a 
UNEPIPCAU Consultant, all of whom are from the same country and had previously 
worked together. 
",27.pdf,contextual
UNEP,UNEP/PCAU Consultant,"(i) 
UNEP Staff Member 2, and UNEP/PCAU Consultant maintained an ongoing 
relationship with their former company, thereby creating a conflict of interest.",27.pdf,contextual
BTF,PCAU,"While working for the BTF and PCAU, UNEP Staff Member 1, 
(ii) Allegation 2.",27.pdf,contextual
PCAU,UNEP,"While working for the BTF and PCAU, UNEP Staff Member 1, 
(ii) Allegation 2.",27.pdf,contextual
UNEP,UNEP,"UNEP Staff Member 1 demanded a kickback of fifty percent 
of consultancy fees paid to experts and these fees were shared with UNEP Staff 
Member 2 and UNEP/PCAU Consultant. 
",27.pdf,contextual
UNEP,UNEP,"UNEP Staff Member 1 and UNEP Staff Member 2 received 
high-level contracts without meeting the proper educational and professional 
qualifications. 
",27.pdf,contextual
UNEP,UNEP,"UNEP Staff Member 1 and UNEPIPCAU Consultant 
represented UNEP in various seminars and supervised UNEP staff members, 
contrary to relevant United Nations rules. 
",27.pdf,contextual
UNEP,United Nations,"UNEP Staff Member 1 and UNEPIPCAU Consultant 
represented UNEP in various seminars and supervised UNEP staff members, 
contrary to relevant United Nations rules. 
",27.pdf,contextual
BTF,UNEP,"However, the BTF had a series of contracts and extensions of those contracts 
with the former company and UNEP Staff Member 1 was a shareholder and senior officer",27.pdf,contextual
UNEP,BTF,"The evidence adduced for allegation 1 shows that UNEP Staff Member 2, and 
of the former company and, as a sub-contractor of the former company, worked for the 
BTF.",27.pdf,contextual
UNEP,UNEP,"During the time UNEP Staff Member 1 held a consultancy contract with UNEP, the 
former company had no contractual relationship with UNEP.",27.pdf,contextual
UNEP,UNEP,"During the time UNEP Staff Member 1 held a consultancy contract with UNEP, the 
former company had no contractual relationship with UNEP.",27.pdf,contextual
UNEP,BTF,"The evidence adduced for allegation 3 shows that UNEP Staff Member 2 
received an appointment with PCAU in May 2000, about a year after s/he began work for 
the BTF as a consultant.",27.pdf,contextual
UNEP,UNEP,"UNEP management advised ID/OIOS that UNEP Staff Member 1 
and UNEP Staff Member 2 performed well, which they felt justified their decision to 
grant them contracts at the high level, although UNEP Staff Member 1 did not have the 
requisite educational background and UNEP Staff Member 2 had little environmental 
expertise prior to his consultancy with BTF.",27.pdf,contextual
UNEP,UNEP,"UNEP management advised ID/OIOS that UNEP Staff Member 1 
and UNEP Staff Member 2 performed well, which they felt justified their decision to 
grant them contracts at the high level, although UNEP Staff Member 1 did not have the 
requisite educational background and UNEP Staff Member 2 had little environmental 
expertise prior to his consultancy with BTF.",27.pdf,contextual
UNEP,UNEP,"UNEP management advised ID/OIOS that UNEP Staff Member 1 
and UNEP Staff Member 2 performed well, which they felt justified their decision to 
grant them contracts at the high level, although UNEP Staff Member 1 did not have the 
requisite educational background and UNEP Staff Member 2 had little environmental 
expertise prior to his consultancy with BTF.",27.pdf,contextual
UNEP,UNEP,"UNEP management advised ID/OIOS that UNEP Staff Member 1 
and UNEP Staff Member 2 performed well, which they felt justified their decision to 
grant them contracts at the high level, although UNEP Staff Member 1 did not have the 
requisite educational background and UNEP Staff Member 2 had little environmental 
expertise prior to his consultancy with BTF.",27.pdf,contextual
UNEP,BTF,"UNEP management advised ID/OIOS that UNEP Staff Member 1 
and UNEP Staff Member 2 performed well, which they felt justified their decision to 
grant them contracts at the high level, although UNEP Staff Member 1 did not have the 
requisite educational background and UNEP Staff Member 2 had little environmental 
expertise prior to his consultancy with BTF.",27.pdf,contextual
UNEP/PCAU Consultant,UNEP,"UNEP/PCAU Consultant and UNEP Staff 
Member 1 both admitted that they had represented the Organization in various seminars 
while consulting for BTF.",27.pdf,contextual
UNEP,Organization,"UNEP/PCAU Consultant and UNEP Staff 
Member 1 both admitted that they had represented the Organization in various seminars 
while consulting for BTF.",27.pdf,contextual
Organization,BTF,"UNEP/PCAU Consultant and UNEP Staff 
Member 1 both admitted that they had represented the Organization in various seminars 
while consulting for BTF.",27.pdf,contextual
UNEP,UNEP,"UNEP Staff Member 1 also supervised UNEP staff members 
while a consultant.",27.pdf,contextual
ST/Al/l999/7 II 2,Organization,"These actions were a breach of ST/Al/l999/7 II 2 (f), which states 
""consultants shall not perform functions of staff members of the Organization or have 
any representative or supervisory responsibility.""",27.pdf,contextual
BTF,Financial Regulation,"6. 
company received contracts and extensions of contracts with BTF through UNOPS 
without competitive bidding, in violation of Financial Regulation 1.2 which states that 
""Procurement functions include all actions necessary for the acquisition, by purchase or 
lease, of property, including products and real property, and of services, including works. 
",27.pdf,contextual
UNEP,UNOPS,"In conclusion, ID/OIOS finds that UNEP and UNOPS departed from United 
8. 
",27.pdf,contextual
UNOPS,United,"In conclusion, ID/OIOS finds that UNEP and UNOPS departed from United 
8. 
",27.pdf,contextual
STRICTLY,1 Report of Investigation,"STRICTLY CONFIDENTIAL  
 1 Report of Investigation – ID Case 0050/05  
 
 
I. INTRODUCTION  
 
1.",69.pdf,contextual
the Investigations Division,"the Office of Internal 
Oversight Services","On 13 February 2005, the Investigations Division  of the Office of Internal 
Oversight Services (ID/OIOS) received a request fro m UNON Official 1 to inquire 
into allegations that locally recruited United Nati ons Office at Nairobi (UNON) staff 
may have engaged in improper conduct by submitting fraudulent letters of 
appointments showing longer contract duration dates  to obtain loans from the United 
Nations Co-operative Savings and Credit Society Lim ited (UN-SACCO), which 
operates within UNON premises.    
 
",69.pdf,contextual
