source,target,sentence,document
National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf
U.S.,Cherry,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages:1
Japanese Strive to Avoid Damage to U.S. Relations Over Cherry Imports  
(TS//SI//OC/NF)
(TS//SI//OC/NF) Officials in the Japanese Ministry of Agriculture, 
Forestry, and Fisheries (MAFF) appeared recently to be seeking ways 
to prevent damage to relations with the U.S. over the ministry's 
decision to delay the importation of U.S.­origin cherries, a decision  
driven by Japanese politicians and growers. ",108.pdf
Cherry,U.S.,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages:1
Japanese Strive to Avoid Damage to U.S. Relations Over Cherry Imports  
(TS//SI//OC/NF)
(TS//SI//OC/NF) Officials in the Japanese Ministry of Agriculture, 
Forestry, and Fisheries (MAFF) appeared recently to be seeking ways 
to prevent damage to relations with the U.S. over the ministry's 
decision to delay the importation of U.S.­origin cherries, a decision  
driven by Japanese politicians and growers. ",108.pdf
U.S.,the ministry's,"Author:Summary Services Office
Link: https://wikileaks.org/nsa-japan
Pages:1
Japanese Strive to Avoid Damage to U.S. Relations Over Cherry Imports  
(TS//SI//OC/NF)
(TS//SI//OC/NF) Officials in the Japanese Ministry of Agriculture, 
Forestry, and Fisheries (MAFF) appeared recently to be seeking ways 
to prevent damage to relations with the U.S. over the ministry's 
decision to delay the importation of U.S.­origin cherries, a decision  
driven by Japanese politicians and growers. ",108.pdf
U.S.,Tokyo,"MAFF was alarmed by the 
very strong reaction of the U.S. Department of Agriculture to Tokyo's  
ruling that imports could not commence until the end of this month, 
when a pilot program involving inspections in the U.S. Pacific 
Northwest by a MAFF inspector is expected to be concluded 
satisfactorily. ",108.pdf
Tokyo,this month,"MAFF was alarmed by the 
very strong reaction of the U.S. Department of Agriculture to Tokyo's  
ruling that imports could not commence until the end of this month, 
when a pilot program involving inspections in the U.S. Pacific 
Northwest by a MAFF inspector is expected to be concluded 
satisfactorily. ",108.pdf
this month,U.S.,"MAFF was alarmed by the 
very strong reaction of the U.S. Department of Agriculture to Tokyo's  
ruling that imports could not commence until the end of this month, 
when a pilot program involving inspections in the U.S. Pacific 
Northwest by a MAFF inspector is expected to be concluded 
satisfactorily. ",108.pdf
U.S.,Japan,"Also, it was 
recommended that the U.S. be notified that­­unlike in the beef 
dispute­­imports could begin as soon as the result of on­site 
inspection is confirmed, rather than after the inspector had returned  
to Japan and more tests conducted. ",108.pdf
Z­3/OO/515570­09,221708Z,"Unconventional
 
Japanese governmental 
 
Z­3/OO/515570­09, 221708Z",108.pdf
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Allegations of theft and corruption arising out of the collection of handling and 
landing fees and de-icing costs for passenger aircr aft using Pristina Airport. 
",31.pdf
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Allegations of theft and corruption arising out of the collection of handling and 
landing fees and de-icing costs for passenger aircr aft using Pristina Airport. 
",31.pdf
Kosovo,"Investigation Task Force 
 
 
Allegations","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Allegations of theft and corruption arising out of the collection of handling and 
landing fees and de-icing costs for passenger aircr aft using Pristina Airport. 
",31.pdf
February 2003,"the Chartered 
Accountants","This case arises out of an audit report dated 28  February 2003 into the financial 
statements of Pristina International Airport conduc ted by the Chartered 
Accountants which led to an investigation concernin g alleged corruption and 
irregularities arising in the course of procurement s and contracts at Pristina 
International Airport. 
 
",31.pdf
• Employees,Pri,"There are three specific allegations in this rep ort of investigation: 
• Employees overcharged commercial flights using Pri stina Airport for handling and 
landing fees and other services. 
",31.pdf
12 December 1999,Kosovo,"II. APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS 
PROCEDURAL RULES 
 
Section 1 of UNMIK Regulation 1999/24  dated 12 December 1999 as amended, 
states that the law applicable in Kosovo shall be: 
a)",31.pdf
Kosovo,22 March 1989,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
Staff Rule 110.1: Misconduct .",31.pdf
22 March 1989,UN,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
Staff Rule 110.1: Misconduct .",31.pdf
2001,2003,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf
2003,"the 
Public Enterprise Airport Pristina","During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
Council,10 June 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
10 June 1999,UNMIK Regulation No 1/,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
UNMIK Regulation No 1/,1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
1999,25 July 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
25 July 1999,UNMIK,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
UNMIK,Ko,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf
the end of June 2002,the Civil Administration,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",31.pdf
the Civil Administration,UNMIK,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",31.pdf
DOTI,31 July 2000,"DOTI Official 2 was recruited by the DOTI as an 
international staff member on 31 July 2000 in charg e of airport operations, 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",31.pdf
31 July 2000,30 September 2001,"DOTI Official 2 was recruited by the DOTI as an 
international staff member on 31 July 2000 in charg e of airport operations, 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",31.pdf
1 July 2002,the Kosovo Trust Agency,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",31.pdf
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",31.pdf
1 April 2004,KFOR,"On 1 April 2004 Pristina International Airport, which had until that time been 
under the jurisdiction of KFOR was handed over to c ivilian jurisdiction, under 
ICAO regulations. 
 
",31.pdf
Pristina,2001,"Samples were taken from a total of 21 airlines using the airport at Pristina in 
2001.",31.pdf
ITF,1 January 2002,"The ITF obtained a price list, dated 1 January 2002, which provides an indication 
as to the respective costs for basic airport servic es, based on the weight of the 
aircraft.  
 
",31.pdf
2001,"DM 14,357,949","The total income from landing fees in 2001 was estimated at DM 14,357,949 
(equivalent to €7,341,163.",31.pdf
"DM 14,357,949","7,341,163","The total income from landing fees in 2001 was estimated at DM 14,357,949 
(equivalent to €7,341,163.",31.pdf
"7,376,182",Chartered Account,"This compares with a fig ure of €7,376,182 in the profit 
and loss accounts produced by the Chartered Account ants.  
 
",31.pdf
• Airline,DM 2190,"These were: 
• Airline 1 – Average DM 2190 
• Airline 2 – Average DM 2888. 
 
",31.pdf
DM 2190,• Airline,"These were: 
• Airline 1 – Average DM 2190 
• Airline 2 – Average DM 2888. 
 
",31.pdf
• Airline,DM 2888,"These were: 
• Airline 1 – Average DM 2190 
• Airline 2 – Average DM 2888. 
 
",31.pdf
February 2001,31 December 2001,"A spreadsheet 
was created detailing the total number of persons t ravelling in the period 1 
February 2001 until 31 December 2001 together with the number of persons not 
paying passenger tax.",31.pdf
Euro,"4,799,395","If this number is multiplied by 25 DM and conv erted to Euro per paying 
passenger, this gives a total of €4,799,395 as agai nst a stated income figure in 
the accounts of €4,919,190 for the whole year.",31.pdf
"4,799,395","4,919,190","If this number is multiplied by 25 DM and conv erted to Euro per paying 
passenger, this gives a total of €4,799,395 as agai nst a stated income figure in 
the accounts of €4,919,190 for the whole year.",31.pdf
"4,919,190",the whole year,"If this number is multiplied by 25 DM and conv erted to Euro per paying 
passenger, this gives a total of €4,799,395 as agai nst a stated income figure in 
the accounts of €4,919,190 for the whole year.",31.pdf
IATA,"Airline 3, Airline 4, Airl ine 5 and Airline","In an effort to verify whether or not airlines were being routinely overcharged for 
handling and landing fees or de-icing costs, the IT F sent a request to IATA to 
provide information from Airline 3, Airline 4, Airl ine 5 and Airline 6 concerning any 
instances of overcharging or extortion of money by staff at Pristina Airport.",31.pdf
Airlines,IATA,"In the absence of cooperation from the Airlines  and IATA, despite repeated 
requests by the ITF, it is not possible to progress  the case further. 
 
 
",31.pdf
IATA,ITF,"In the absence of cooperation from the Airlines  and IATA, despite repeated 
requests by the ITF, it is not possible to progress  the case further. 
 
 
",31.pdf
ST,September 1994,"This report is protected under the provisions of 
ST/SGB/273, paragraph 18, of 7 September 1994""  
 
 
 
 
 
 
 
 
 
OFFICE OF INTERNAL OVERSIGHT SERVICES 
INVESTIGATIONS DIVISION 
 
 
 
 
REDACTED  
REPORT OF INVESTIGATION 
 
ID CASE",24.pdf
"December 2004  
 
 ",STRICTLY,"NO. 0570/03 
 
 
 
 
 
 
 
 
16 December 2004  
 
 STRICTLY  CONFIDENTIAL  
  
     
  
   2  
REPORT INTO SEEKING ASSISTANCE FROM PERSONS EXTERNAL  TO THE ORGANIZATION  
 
 
ID  CASE",24.pdf
STRICTLY,"THE ORGANIZATION  
 
 
ID  CASE","NO. 0570/03 
 
 
 
 
 
 
 
 
16 December 2004  
 
 STRICTLY  CONFIDENTIAL  
  
     
  
   2  
REPORT INTO SEEKING ASSISTANCE FROM PERSONS EXTERNAL  TO THE ORGANIZATION  
 
 
ID  CASE",24.pdf
I.      ,"3  
 
 
II","Page No. 
 
 
I.      INTRODUCTION    ………………………………………………   3  
 
 
II.     APPLICABLE LAW    ……………………………………………    3 
 
 
III.    ",24.pdf
BACKGROUND INFORMATION    ,Hiwot Abebe,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Hiwot Abebe,26 January 2003,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
26 January 2003,Email,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Email,Ambassad,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Ambassad,Negroponte and US Government Officials    ,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Negroponte and US Government Officials    ,Mzumara,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Mzumara,OIC,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
OIC,SRO,"BACKGROUND INFORMATION    ………………………………              3 
 
 
V.      INVESTIGATIVE DETAILS    …………………………………  4 
 
 A. “Hiwot Abebe” email of 26 January 2003  …  4 
B.  Email submitted by the staff member to Ambassad or  
    Negroponte and US Government Officials    …  4 
 C. Interview of the staff member ……………………………   5 
D. Emails by the staff member to Mr. Mzumara, OIC, SRO, 
",24.pdf
Lusaka,E. Interview,"Lusaka   ………………………………………………    5  
 E. Interview with Mr. Dickson Mzumara   ….   6 
 F.  Allegations of Sexual Harassment     ……….   6   
 
 
VI.     ",24.pdf
E. Interview,Dickson Mzumara,"Lusaka   ………………………………………………    5  
 E. Interview with Mr. Dickson Mzumara   ….   6 
 F.  Allegations of Sexual Harassment     ……….   6   
 
 
VI.     ",24.pdf
"The Investigations Division of the Office of Intern al 
Oversight Services",OIOS,"The Investigations Division of the Office of Intern al 
Oversight Services (OIOS) received several emails s ent to 
persons external to the Organization, which alleged  that 
wrongdoings were committed at the Economic Commissi on for Africa 
(ECA) but no action was taken.  ",24.pdf
OIOS,Organization,"The Investigations Division of the Office of Intern al 
Oversight Services (OIOS) received several emails s ent to 
persons external to the Organization, which alleged  that 
wrongdoings were committed at the Economic Commissi on for Africa 
(ECA) but no action was taken.  ",24.pdf
Organization,ECA,"The Investigations Division of the Office of Intern al 
Oversight Services (OIOS) received several emails s ent to 
persons external to the Organization, which alleged  that 
wrongdoings were committed at the Economic Commissi on for Africa 
(ECA) but no action was taken.  ",24.pdf
UN Rules and Regulations,John Negropont,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
John Negropont,US,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
US,UN,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
UN,United States of America,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
United States of America,John Kerry,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
John Kerry,Se,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
Se,Dodd,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
Dodd,Senate,"Subsequently, an investigation was conducted that r evealed 
that contrary to UN Rules and Regulations, the staf f member sent 
emails to His Excellency, Ambassador John Negropont e of the US 
Mission to the UN, the President and Vice-President  of the 
United States of America, Senator John Kerry and Se nator Dodd of 
the United States Senate amongst others.  
 
 
",24.pdf
the end of November 2003,over 25 years,"He  retired 
at the end of November 2003 having worked for the O rganization 
for over 25 years. 
 
 
 
 
  
     
  
   ",24.pdf
Hiwot Abebe,26 January 2003,"4 V.   INVESTIGATIVE DETAILS 
 
A.   “Hiwot Abebe” email of 26 January 2003 
 
6.  ",24.pdf
26 January 2003,Hiwot Abebe,"During the course of the investigation, it was reve aled 
that on 26 January 2003, an anonymous person, using  the 
identities of “Hiwot Abebe” sent an email to the Pr esident and 
Vice-President of the United States of America.  ",24.pdf
Hiwot Abebe,the United States of America,"During the course of the investigation, it was reve aled 
that on 26 January 2003, an anonymous person, using  the 
identities of “Hiwot Abebe” sent an email to the Pr esident and 
Vice-President of the United States of America.  ",24.pdf
John Kerry,United States,"Th e email was 
also addressed to Senator John Kerry and Senator Do dd of the 
United States Senate.  ",24.pdf
United States,Senate,"Th e email was 
also addressed to Senator John Kerry and Senator Do dd of the 
United States Senate.  ",24.pdf
ECA,perpetrat ed,"The email had an attachment that was 
addressed to the Executive Secretary of ECA and hig hlighted 
allegations of sexual harassment and rape perpetrat ed by some 
senior officials of ECA within the ECA Complex.  ",24.pdf
perpetrat ed,ECA,"The email had an attachment that was 
addressed to the Executive Secretary of ECA and hig hlighted 
allegations of sexual harassment and rape perpetrat ed by some 
senior officials of ECA within the ECA Complex.  ",24.pdf
Ethiopian Foreign Ministry,the UN System,"The document was also copied  to the 
Secretary-General, Ethiopian Foreign Ministry and s enior 
officials in the UN System. 
 
",24.pdf
Abebe,the American Government,"7.  “Abebe’s” complaint to the American Government was that the 
Executive Secretary, ECA had failed to take action against staff 
members who were alleged to have sexually harassed and raped ten 
women staff members of ECA.  ",24.pdf
the American Government,ECA,"7.  “Abebe’s” complaint to the American Government was that the 
Executive Secretary, ECA had failed to take action against staff 
members who were alleged to have sexually harassed and raped ten 
women staff members of ECA.  ",24.pdf
ECA,ECA,"7.  “Abebe’s” complaint to the American Government was that the 
Executive Secretary, ECA had failed to take action against staff 
members who were alleged to have sexually harassed and raped ten 
women staff members of ECA.  ",24.pdf
Organizatio,Email,"The above email and the attachment were copied to t he staff 
member and other persons working in the Organizatio n. 
 
B.   Email submitted by the staff member to  
Ambassador Negroponte  
and US Government Officials 
 
9.  ",24.pdf
Email,"Negroponte  
","The above email and the attachment were copied to t he staff 
member and other persons working in the Organizatio n. 
 
B.   Email submitted by the staff member to  
Ambassador Negroponte  
and US Government Officials 
 
9.  ",24.pdf
"Negroponte  
",US Government,"The above email and the attachment were copied to t he staff 
member and other persons working in the Organizatio n. 
 
B.   Email submitted by the staff member to  
Ambassador Negroponte  
and US Government Officials 
 
9.  ",24.pdf
28 January 2003,John Negroponte,"On 28 January 2003, the staff member wrote an email  to His 
Excellency, Ambassador John Negroponte of the US Mi ssion to the 
UN and “Hiwot”.  ",24.pdf
John Negroponte,US,"On 28 January 2003, the staff member wrote an email  to His 
Excellency, Ambassador John Negroponte of the US Mi ssion to the 
UN and “Hiwot”.  ",24.pdf
US,UN,"On 28 January 2003, the staff member wrote an email  to His 
Excellency, Ambassador John Negroponte of the US Mi ssion to the 
UN and “Hiwot”.  ",24.pdf
UN,Hiwot,"On 28 January 2003, the staff member wrote an email  to His 
Excellency, Ambassador John Negroponte of the US Mi ssion to the 
UN and “Hiwot”.  ",24.pdf
the United States of America,"John 
Kerry","He also copied the email to the Pr esident and 
Vice - President of the United States of America, S enator John 
Kerry and Senator Dodd of the United States Senate.   ",24.pdf
"John 
Kerry",Dodd,"He also copied the email to the Pr esident and 
Vice - President of the United States of America, S enator John 
Kerry and Senator Dodd of the United States Senate.   ",24.pdf
Dodd,the United States Senate,"He also copied the email to the Pr esident and 
Vice - President of the United States of America, S enator John 
Kerry and Senator Dodd of the United States Senate.   ",24.pdf
ECA,ECA,"In 
addition, he attached to the email the document all eging rape 
and sexual harassment by some officials of ECA - “C rimes of Rape 
and Maladministration within the compound of ECA”.  ",24.pdf
"the same 
day",White House,"On the same 
day White House responded and thanked the staff mem ber for 
emailing President Bush and Vice - President Cheney . 
                 
",24.pdf
White House,mem ber,"On the same 
day White House responded and thanked the staff mem ber for 
emailing President Bush and Vice - President Cheney . 
                 
",24.pdf
mem ber,Bush,"On the same 
day White House responded and thanked the staff mem ber for 
emailing President Bush and Vice - President Cheney . 
                 
",24.pdf
Bush,Cheney,"On the same 
day White House responded and thanked the staff mem ber for 
emailing President Bush and Vice - President Cheney . 
                 
",24.pdf
Negroponte,UN,"In his email to Ambassador Negroponte, the staff me mber 
informed him that the aggrieved staff members had e xhausted all 
avenues available for recourse under the UN justice  system.  ",24.pdf
Negroponte,UN System,"In his interview with the Investigators, the staff member 
initially denied sending the email and the attachme nt in 
question to Ambassador Negroponte and other persons  outside the 
UN System.  ",24.pdf
Negroponte,UN,"When the staff member was asked why he sought assis tance 
from Ambassador Negroponte, a non-UN staff member, his response 
was that the aggrieved staff members who were worki ng as a group 
felt that the issue was taking a long time to resol ve; 
therefore, he decided to appeal to Ambassador Negro ponte.  ",24.pdf
UN,Negro,"When the staff member was asked why he sought assis tance 
from Ambassador Negroponte, a non-UN staff member, his response 
was that the aggrieved staff members who were worki ng as a group 
felt that the issue was taking a long time to resol ve; 
therefore, he decided to appeal to Ambassador Negro ponte.  ",24.pdf
ECA,ECA,"He 
said that he did not consult ECA management before writing to 
persons outside the Organization as the ECA interna l justice 
system seemed to have collapsed.  ",24.pdf
"18 
March 2003",Executive,"In this conne ction, on 18 
March 2003, the Executive Secretary wrote a memoran dum to the 
Officer-in-Charge, OHRM responding to all the alleg ations 
leveled against the management of ECA.  ",24.pdf
Executive,ECA,"In this conne ction, on 18 
March 2003, the Executive Secretary wrote a memoran dum to the 
Officer-in-Charge, OHRM responding to all the alleg ations 
leveled against the management of ECA.  ",24.pdf
Mzumara,OIC,"D.   Emails by the staff member to Mr. Mzumara, OIC , SRO, Lusaka  
 
15.  ",24.pdf
OIC,SRO,"D.   Emails by the staff member to Mr. Mzumara, OIC , SRO, Lusaka  
 
15.  ",24.pdf
SRO,Lusaka,"D.   Emails by the staff member to Mr. Mzumara, OIC , SRO, Lusaka  
 
15.  ",24.pdf
Lusaka,15,"D.   Emails by the staff member to Mr. Mzumara, OIC , SRO, Lusaka  
 
15.  ",24.pdf
29 January 2003,Dickson Mzumara,"On 29 January 2003, the staff member wrote an email  to Mr. 
Dickson Mzumara, Officer-in-Charge of the ECA Sub R egional 
Office in Lusaka, Zambia confirming that he had wri tten to 
Ambassador Negroponte because he had had a chat wit h friends who 
  
     
  
   6 thought that “this was too much of a hot potato”.  ",24.pdf
Dickson Mzumara,Lusaka,"On 29 January 2003, the staff member wrote an email  to Mr. 
Dickson Mzumara, Officer-in-Charge of the ECA Sub R egional 
Office in Lusaka, Zambia confirming that he had wri tten to 
Ambassador Negroponte because he had had a chat wit h friends who 
  
     
  
   6 thought that “this was too much of a hot potato”.  ",24.pdf
Lusaka,Zambia,"On 29 January 2003, the staff member wrote an email  to Mr. 
Dickson Mzumara, Officer-in-Charge of the ECA Sub R egional 
Office in Lusaka, Zambia confirming that he had wri tten to 
Ambassador Negroponte because he had had a chat wit h friends who 
  
     
  
   6 thought that “this was too much of a hot potato”.  ",24.pdf
Zambia,Negroponte,"On 29 January 2003, the staff member wrote an email  to Mr. 
Dickson Mzumara, Officer-in-Charge of the ECA Sub R egional 
Office in Lusaka, Zambia confirming that he had wri tten to 
Ambassador Negroponte because he had had a chat wit h friends who 
  
     
  
   6 thought that “this was too much of a hot potato”.  ",24.pdf
Mzumara,Negroponte,"Mr. Mzumara 
was also a recipient of a copy of the email that wa s addressed 
to Ambassador Negroponte by the staff member. 
 
",24.pdf
the same day,Mzumara,"On the same day, Mr. Mzumara replied through an ema il to 
the staff member and concurred with his action of w riting to the 
Ambassador.  ",24.pdf
Mzumara,mem ber,"However, Mr. Mzumara pointed out to th e staff 
member that he was concerned that he, the staff mem ber, was 
writing to persons outside the Organization.  ",24.pdf
mem ber,Organization,"However, Mr. Mzumara pointed out to th e staff 
member that he was concerned that he, the staff mem ber, was 
writing to persons outside the Organization.  ",24.pdf
mem ber,29 January 2003,"The staff mem ber responded 
via email dated 29 January 2003 and stated that, “T hanks that I 
have been told.  ",24.pdf
the J AB,Nairobi,"This question was brought in the J AB in 
Nairobi.  ",24.pdf
"White 
House",USA,"The 
lady who broadcasted the message is the one who wro te to White 
House and the Vice Presidents of the USA.  ",24.pdf
Negroponte,UN,"My hope was Negroponte being in  the UN 
Secretariat would do damage control and get somehow  the Boss to 
address the problem, in the best interest of the Se cretary 
General.  ",24.pdf
