source,target,sentence,document,cleaned_source,cleaned_target
"Insurance 
Company 1",2003,"The Investigation Task Force (ITF) has been investi gating an allegation regarding 
administrative irregularities regarding the insuran ce coverage for Pristina Airport 
by a London-based Company, who then purchased the c over from Insurance 
Company 1 between 2001 and 2003.  
",36.pdf,insurance company 1,2003
UNMI K Pillar II,"the Kosovo 
Trust Agency","2.  Based on extensive documentation obtained from UNMI K Pillar II, the Kosovo 
Trust Agency (KTA) and Public Enterprise Airport Pr istina (PEAP), the ITF 
determined that the responsible Manager did not und ertake efforts in 2002 or 
2003 to invite international tenders for the Airpor t’s insurance coverage. 
",36.pdf,unmi k pillar ii,the kosovo trust agency
"the Kosovo 
Trust Agency",ITF,"2.  Based on extensive documentation obtained from UNMI K Pillar II, the Kosovo 
Trust Agency (KTA) and Public Enterprise Airport Pr istina (PEAP), the ITF 
determined that the responsible Manager did not und ertake efforts in 2002 or 
2003 to invite international tenders for the Airpor t’s insurance coverage. 
",36.pdf,the kosovo trust agency,itf
ITF,2002,"2.  Based on extensive documentation obtained from UNMI K Pillar II, the Kosovo 
Trust Agency (KTA) and Public Enterprise Airport Pr istina (PEAP), the ITF 
determined that the responsible Manager did not und ertake efforts in 2002 or 
2003 to invite international tenders for the Airpor t’s insurance coverage. 
",36.pdf,itf,2002
2002,2003,"2.  Based on extensive documentation obtained from UNMI K Pillar II, the Kosovo 
Trust Agency (KTA) and Public Enterprise Airport Pr istina (PEAP), the ITF 
determined that the responsible Manager did not und ertake efforts in 2002 or 
2003 to invite international tenders for the Airpor t’s insurance coverage. 
",36.pdf,2002,2003
Kosovo Consolidated Funds,"more than $125,000 USD","According to UNMIK regulations 1999/2 – Finance Adm inistration Instruction on 
Public Procurement using Kosovo Consolidated Funds – and in view of the cost 
of the premiums of more than $125,000 USD, such a t ender should have been 
undertaken.",36.pdf,kosovo consolidated funds,more than 125000 usd
October 2003,October 2004,"The Manager did not prepare an internat ional tender for at least the 
period 2 October 2003 to 1 October 2004, instead, h e concluded a contract in 
favour of Insurance Company 1 effecting insurance c overage pertaining to 
Pristina International Airport for a further year.",36.pdf,october 2003,october 2004
October 2004,Insurance Company 1,"The Manager did not prepare an internat ional tender for at least the 
period 2 October 2003 to 1 October 2004, instead, h e concluded a contract in 
favour of Insurance Company 1 effecting insurance c overage pertaining to 
Pristina International Airport for a further year.",36.pdf,october 2004,insurance company 1
Insurance Company 1,a further year,"The Manager did not prepare an internat ional tender for at least the 
period 2 October 2003 to 1 October 2004, instead, h e concluded a contract in 
favour of Insurance Company 1 effecting insurance c overage pertaining to 
Pristina International Airport for a further year.",36.pdf,insurance company 1,a further year
1 April 2004,Insurance Company 2,"On 1 April 2004, an  Icelandic Civil Aviation 
Administration (ICAA) assumed the responsibility to  ensure air safety at Pristina 
Page 2 of 2 International Airport and established new insurance  coverage package for aviation 
liability guaranteed by Insurance Company 2.",36.pdf,1 april 2004,insurance company 2
London,Company/Insuranc e Company 1,"Despite th e fact that the Airport 
insurance coverage by London-based Company/Insuranc e Company 1 was valid 
until 2 October 2004, the insurance coverage arrang ed by UNMIK and the 
Insurance Company 2 commenced on 1 April 2004 and i ncluded the same 
insurance substance, but with even higher sums insu red and several small 
amendments.  
",36.pdf,london,companyinsuranc e company 1
Company/Insuranc e Company 1,2 October 2004,"Despite th e fact that the Airport 
insurance coverage by London-based Company/Insuranc e Company 1 was valid 
until 2 October 2004, the insurance coverage arrang ed by UNMIK and the 
Insurance Company 2 commenced on 1 April 2004 and i ncluded the same 
insurance substance, but with even higher sums insu red and several small 
amendments.  
",36.pdf,companyinsuranc e company 1,2 october 2004
2 October 2004,UNMIK,"Despite th e fact that the Airport 
insurance coverage by London-based Company/Insuranc e Company 1 was valid 
until 2 October 2004, the insurance coverage arrang ed by UNMIK and the 
Insurance Company 2 commenced on 1 April 2004 and i ncluded the same 
insurance substance, but with even higher sums insu red and several small 
amendments.  
",36.pdf,2 october 2004,unmik
UNMIK,"the 
Insurance Company 2","Despite th e fact that the Airport 
insurance coverage by London-based Company/Insuranc e Company 1 was valid 
until 2 October 2004, the insurance coverage arrang ed by UNMIK and the 
Insurance Company 2 commenced on 1 April 2004 and i ncluded the same 
insurance substance, but with even higher sums insu red and several small 
amendments.  
",36.pdf,unmik,the insurance company 2
"the 
Insurance Company 2",1 April 2004,"Despite th e fact that the Airport 
insurance coverage by London-based Company/Insuranc e Company 1 was valid 
until 2 October 2004, the insurance coverage arrang ed by UNMIK and the 
Insurance Company 2 commenced on 1 April 2004 and i ncluded the same 
insurance substance, but with even higher sums insu red and several small 
amendments.  
",36.pdf,the insurance company 2,1 april 2004
Insurance Company 1,October 2003,"The contract with Insurance Company 1 covered the p eriod 2 October 2003 to 1 
October 2004.",36.pdf,insurance company 1,october 2003
the Insurance Company 1 Contract Policy,July 2002,"According to the Insurance Company 1 Contract Policy dated 9 
July 2002, paragraph 4 of the General Conditions, t he “…Policy may be cancelled 
at any time at the written request of the Insured …  provided 30 days notice …”. 
",36.pdf,the insurance company 1 contract policy,july 2002
July 2002,the General Conditions,"According to the Insurance Company 1 Contract Policy dated 9 
July 2002, paragraph 4 of the General Conditions, t he “…Policy may be cancelled 
at any time at the written request of the Insured …  provided 30 days notice …”. 
",36.pdf,july 2002,the general conditions
the General Conditions,Insured,"According to the Insurance Company 1 Contract Policy dated 9 
July 2002, paragraph 4 of the General Conditions, t he “…Policy may be cancelled 
at any time at the written request of the Insured …  provided 30 days notice …”. 
",36.pdf,the general conditions,insured
Insured,30 days,"According to the Insurance Company 1 Contract Policy dated 9 
July 2002, paragraph 4 of the General Conditions, t he “…Policy may be cancelled 
at any time at the written request of the Insured …  provided 30 days notice …”. 
",36.pdf,insured,30 days
ITF,Kosovo,"As a result of these interviews, the ITF b elieves there is a prima facie 
case against the Manager for offence(s) against the  Provisional Criminal 
Procedure Code of Kosovo.  
",36.pdf,itf,republic of kosovo
ITF,the  Department of Justice,"The ITF, by this memorandum, advises you of our pre liminary findings and seeks 
your approval for the matter to be forwarded to the  Department of Justice for 
appropriate judicial review.",36.pdf,itf,the department of justice
ITF,ade,"The ITF file will be m ade available to the Department 
of Justice for the purposes of that review and any future judicial investigation.  
",36.pdf,itf,ade
ade,Department,"The ITF file will be m ade available to the Department 
of Justice for the purposes of that review and any future judicial investigation.  
",36.pdf,ade,department
Department,Justice,"The ITF file will be m ade available to the Department 
of Justice for the purposes of that review and any future judicial investigation.  
",36.pdf,department,justice
Wolfgang Nikolaus,3896,"Any questions or comments on the above information should be addressed to Mr 
Wolfgang Nikolaus, Head, ITF (ext. 3896) in Pristin a, or Mr Mark Gough, 
ID/OIOS Vienna on +43 1 26060 5406. 
 
 
",36.pdf,wolfgang nikolaus,3896
3896,Pristin,"Any questions or comments on the above information should be addressed to Mr 
Wolfgang Nikolaus, Head, ITF (ext. 3896) in Pristin a, or Mr Mark Gough, 
ID/OIOS Vienna on +43 1 26060 5406. 
 
 
",36.pdf,3896,pristin
Pristin,Mark Gough,"Any questions or comments on the above information should be addressed to Mr 
Wolfgang Nikolaus, Head, ITF (ext. 3896) in Pristin a, or Mr Mark Gough, 
ID/OIOS Vienna on +43 1 26060 5406. 
 
 
",36.pdf,pristin,mark gough
Mark Gough,Vienna,"Any questions or comments on the above information should be addressed to Mr 
Wolfgang Nikolaus, Head, ITF (ext. 3896) in Pristin a, or Mr Mark Gough, 
ID/OIOS Vienna on +43 1 26060 5406. 
 
 
",36.pdf,mark gough,vienna
Vienna,26060,"Any questions or comments on the above information should be addressed to Mr 
Wolfgang Nikolaus, Head, ITF (ext. 3896) in Pristin a, or Mr Mark Gough, 
ID/OIOS Vienna on +43 1 26060 5406. 
 
 
",36.pdf,vienna,26060
James Wasserstrom,OPOE,"Copy to:  Mr. James Wasserstrom, OPOE 
  Mr. Paul-Lachal Roberts, OLAF 
  Mr. Mark Gough, ID/OIOS",36.pdf,james wasserstrom,opoe
OPOE,Paul-Lachal Roberts,"Copy to:  Mr. James Wasserstrom, OPOE 
  Mr. Paul-Lachal Roberts, OLAF 
  Mr. Mark Gough, ID/OIOS",36.pdf,opoe,paul-lachal roberts
Paul-Lachal Roberts,OLAF,"Copy to:  Mr. James Wasserstrom, OPOE 
  Mr. Paul-Lachal Roberts, OLAF 
  Mr. Mark Gough, ID/OIOS",36.pdf,paul-lachal roberts,olaf
OLAF,Mark Gough,"Copy to:  Mr. James Wasserstrom, OPOE 
  Mr. Paul-Lachal Roberts, OLAF 
  Mr. Mark Gough, ID/OIOS",36.pdf,olaf,mark gough
September 1994,STRICTLY,"UNITED NATIONS                           NATIONS UN IES 
 
This report is protected under the provisions of 
paragraph 18 of ST/SGB/273 of 7 September 1994  
 
 
STRICTLY CONFIDENTIAL 
 
 
OFFICE OF INTERNAL OVERSIGHT SERVICES 
INVESTIGATIONS DIVISION  
 
REDACTED 
REPORT OF INVESTIGATION 
 
ID CASE",21.pdf,september 1994,strictly
23 May 2005,"I.  INTRODUCTION 
 
","NO. 0580/03 
 
 
 
 
23 May 2005 
 
 
I.  INTRODUCTION 
 
1.  ",21.pdf,23 may 2005,i introduction
"the Investigations 
Division of the Office of Internal Oversight Servic",between October 2003,"This report deals with a case of cheque fraud which  was investigated by the Investigations 
Division of the Office of Internal Oversight Servic es (ID/OIOS) between October 2003 and 
March 2005.  
 
",21.pdf,the investigations division of the office of internal oversight servic,between october 2003
between October 2003,March 2005,"This report deals with a case of cheque fraud which  was investigated by the Investigations 
Division of the Office of Internal Oversight Servic es (ID/OIOS) between October 2003 and 
March 2005.  
 
",21.pdf,between october 2003,march 2005
The United Nations Office,Nairobi,"The United Nations Office in Nairobi (UNON) reported to  ID/OIOS that the United 
Nations Development Programme (UNDP) in Bratislava, S lovakia had made payments to an 
individual based on falsified documents for a total  of US$10,079.",21.pdf,the united nations office,nairobi
Nairobi,"the United 
Nations Development Programme","The United Nations Office in Nairobi (UNON) reported to  ID/OIOS that the United 
Nations Development Programme (UNDP) in Bratislava, S lovakia had made payments to an 
individual based on falsified documents for a total  of US$10,079.",21.pdf,nairobi,the united nations development programme
"the United 
Nations Development Programme",UNDP,"The United Nations Office in Nairobi (UNON) reported to  ID/OIOS that the United 
Nations Development Programme (UNDP) in Bratislava, S lovakia had made payments to an 
individual based on falsified documents for a total  of US$10,079.",21.pdf,the united nations development programme,undp
UNDP,Bratislava,"The United Nations Office in Nairobi (UNON) reported to  ID/OIOS that the United 
Nations Development Programme (UNDP) in Bratislava, S lovakia had made payments to an 
individual based on falsified documents for a total  of US$10,079.",21.pdf,undp,bratislava
Bratislava,"10,079","The United Nations Office in Nairobi (UNON) reported to  ID/OIOS that the United 
Nations Development Programme (UNDP) in Bratislava, S lovakia had made payments to an 
individual based on falsified documents for a total  of US$10,079.",21.pdf,bratislava,10079
Fraud,1961,"Fraud under Slovakian Criminal Code, 1961: Article 250, from Act 140 of the 1961 
Slovakian Criminal Code whereby - “any person who d oes harm to the property of others or 
enriches himself….... and causes harm or damage is guilty of fraud” 
IV.",21.pdf,fraud,1961
UNDP,UNHQ,"Per agreements between UNDP, UNHQ and UNON, UNDP country  offices provide a 
range of administrative services, including cash di sbursements, related to programme 
implementation for United Nations agencies.  ",21.pdf,undp,unhq
UNHQ,UNON,"Per agreements between UNDP, UNHQ and UNON, UNDP country  offices provide a 
range of administrative services, including cash di sbursements, related to programme 
implementation for United Nations agencies.  ",21.pdf,unhq,unon
UNON,UNDP,"Per agreements between UNDP, UNHQ and UNON, UNDP country  offices provide a 
range of administrative services, including cash di sbursements, related to programme 
implementation for United Nations agencies.  ",21.pdf,unon,undp
UNDP,Inter Office Vouchers,"The UNDP  country offices record the layout of 
funds on Inter Office Vouchers (IOV) and bill the v arious agencies for these services on a 
monthly basis by preparing a Report AT 036 for each  agency, which has appended to it copies of 
all IOVs for that agency for the month.  ",21.pdf,undp,inter office vouchers
Inter Office Vouchers,IOV,"The UNDP  country offices record the layout of 
funds on Inter Office Vouchers (IOV) and bill the v arious agencies for these services on a 
monthly basis by preparing a Report AT 036 for each  agency, which has appended to it copies of 
all IOVs for that agency for the month.  ",21.pdf,inter office vouchers,iov
IOV,monthly,"The UNDP  country offices record the layout of 
funds on Inter Office Vouchers (IOV) and bill the v arious agencies for these services on a 
monthly basis by preparing a Report AT 036 for each  agency, which has appended to it copies of 
all IOVs for that agency for the month.  ",21.pdf,iov,monthly
monthly,the month,"The UNDP  country offices record the layout of 
funds on Inter Office Vouchers (IOV) and bill the v arious agencies for these services on a 
monthly basis by preparing a Report AT 036 for each  agency, which has appended to it copies of 
all IOVs for that agency for the month.  ",21.pdf,monthly,the month
October 2003,UNDP Bratislava,"In October 2003, UNON Finance was reconciling its acc ounts with UNDP Bratislava and 
noted there was an outstanding IOV from August 2002 .  ",21.pdf,october 2003,undp bratislava
UNDP Bratislava,IOV,"In October 2003, UNON Finance was reconciling its acc ounts with UNDP Bratislava and 
noted there was an outstanding IOV from August 2002 .  ",21.pdf,undp bratislava,iov
IOV,August 2002,"In October 2003, UNON Finance was reconciling its acc ounts with UNDP Bratislava and 
noted there was an outstanding IOV from August 2002 .  ",21.pdf,iov,august 2002
UNDP,Consultan,"It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,undp,consultan
Consultan,"5,814","It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,consultan,5814
"5,814","4,265","It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,5814,4265
"4,265",Johannesburg,"It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,4265,johannesburg
Johannesburg,Monrovia,"It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,johannesburg,monrovia
Monrovia,August 2002,"It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,monrovia,august 2002
August 2002,September 2002,"It r equested these materials from UNDP 
Bratislava and determined that there were two cash disbursement vouchers which could not be 
reconciled:  two lump sum payments to The Consultan t, in the amounts of US$5,814 and 
US$4,265, for travel to Johannesburg and Monrovia t o attend Ozone Secretariat conferences in 
August 2002 and September 2002 respectively.   
 
",21.pdf,august 2002,september 2002
UNON,UNDP Bratislava,"UNON finance determined that these two vouchers were based on a genuine travel 
request authorization which had been sent from UNON to the UNDP Bratislava office on 25 
June 2002.  ",21.pdf,unon,undp bratislava
UNDP Bratislava,"25 
June 2002","UNON finance determined that these two vouchers were based on a genuine travel 
request authorization which had been sent from UNON to the UNDP Bratislava office on 25 
June 2002.  ",21.pdf,undp bratislava,25 june 2002
Consulta,UNON,"The two travel requests of The Consulta nt changed certain details of the genuine fax, 
including the name of the payee, the date, comments  and the UNON fax number which is unique 
to each UNON fax and is assigned in the UNON cable room , but retained, amongst other items, 
the names and signatures of the authorizing officer s, and the Travel Request number, which is 
specific to each request. 
 
",21.pdf,consulta,unon
UNEP,Johannesburg,"Furthermore, UNEP confirmed th at there were no meetings in 
Johannesburg and Monrovia in 2002, that The Consult ant was not UNEP’s consultant, and that 
payment of lump sums to consultants for travel was irregular in any event.  
 
",21.pdf,unep,johannesburg
Monrovia,2002,"Furthermore, UNEP confirmed th at there were no meetings in 
Johannesburg and Monrovia in 2002, that The Consult ant was not UNEP’s consultant, and that 
payment of lump sums to consultants for travel was irregular in any event.  
 
",21.pdf,monrovia,2002
2002,UNEP,"Furthermore, UNEP confirmed th at there were no meetings in 
Johannesburg and Monrovia in 2002, that The Consult ant was not UNEP’s consultant, and that 
payment of lump sums to consultants for travel was irregular in any event.  
 
",21.pdf,2002,unep
UNDP Bratislava,The Finance Department,"ID/OIOS learned that the genuine and the forged fax es were received by the registry clerk 
of the UNDP Bratislava registry office and, in the normal course of business, forwarded by email 
to The Finance Department Supervisor, and to Financ e Assistant 1.  ",21.pdf,undp bratislava,the finance department
The Finance Department,Supervisor,"ID/OIOS learned that the genuine and the forged fax es were received by the registry clerk 
of the UNDP Bratislava registry office and, in the normal course of business, forwarded by email 
to The Finance Department Supervisor, and to Financ e Assistant 1.  ",21.pdf,the finance department,supervisor
Supervisor,Financ,"ID/OIOS learned that the genuine and the forged fax es were received by the registry clerk 
of the UNDP Bratislava registry office and, in the normal course of business, forwarded by email 
to The Finance Department Supervisor, and to Financ e Assistant 1.  ",21.pdf,supervisor,financ
Howev,UNDP Bratislava,"Howev er, UNDP Bratislava does not keep an 
independent copy of such information.  ",21.pdf,howev,undp bratislava
UNDP,October 2003,"These copies had a h eader with UNON’s sender details, but unlike 
the UNDP Bratislava hard copies in the finance files  and those which had been forwarded to 
UNON in October 2003, the registry copies also had a  footer which reflected that they had 
actually been sent from a store which provides fax services in a shopping centre near the UNDP 
Bratislava office. 
 
",21.pdf,undp,october 2003
October 2003,UNDP,"These copies had a h eader with UNON’s sender details, but unlike 
the UNDP Bratislava hard copies in the finance files  and those which had been forwarded to 
UNON in October 2003, the registry copies also had a  footer which reflected that they had 
actually been sent from a store which provides fax services in a shopping centre near the UNDP 
Bratislava office. 
 
",21.pdf,october 2003,undp
The Finance Department,Finance,"Photocopying Assistant 1 
was a relative of The Finance Department Supervisor , and Photocopying Assistant 2, was the 
daughter of Finance Assistant 2.  ",21.pdf,the finance department,finance
OIOS,"the end of 
month","OIOS was informed that the two assist ants helped in the preparation of the end of 
month financial returns, which included retrieving documents from various files, copying them 
and returning them to the files.  ",21.pdf,oios,the end of month
UNON,UNEP Narobi,"Review of procedures at UNON, UNEP Narobi and UNDP Brati slava in connection with 
payments of this sort showed that  
• UNDP Bratislava relies on the authorizing signature s on the faxes and does not verify their 
authenticity with the agency; 
• UNDP Bratislava maintains a sign-in sheet which req uires a signature and identity 
information, but it was kept haphazardly at the tim e of these incidents; 
• UNDP Bratislava disperses cheques upon proof of ide ntity, which is recorded on the back of 
the cheque, and the payee signs the original cash d isbursement voucher upon receipt of the 
cheque, but the finance office does not retain a co py of the payee’s proof of identification; 
• UNDP Bratislava does not maintain a mail log; 
•",21.pdf,unon,unep narobi
UNEP Narobi,UNDP Brati,"Review of procedures at UNON, UNEP Narobi and UNDP Brati slava in connection with 
payments of this sort showed that  
• UNDP Bratislava relies on the authorizing signature s on the faxes and does not verify their 
authenticity with the agency; 
• UNDP Bratislava maintains a sign-in sheet which req uires a signature and identity 
information, but it was kept haphazardly at the tim e of these incidents; 
• UNDP Bratislava disperses cheques upon proof of ide ntity, which is recorded on the back of 
the cheque, and the payee signs the original cash d isbursement voucher upon receipt of the 
cheque, but the finance office does not retain a co py of the payee’s proof of identification; 
• UNDP Bratislava does not maintain a mail log; 
•",21.pdf,unep narobi,undp brati
UNDP Brati,• UNDP Bratislava,"Review of procedures at UNON, UNEP Narobi and UNDP Brati slava in connection with 
payments of this sort showed that  
• UNDP Bratislava relies on the authorizing signature s on the faxes and does not verify their 
authenticity with the agency; 
• UNDP Bratislava maintains a sign-in sheet which req uires a signature and identity 
information, but it was kept haphazardly at the tim e of these incidents; 
• UNDP Bratislava disperses cheques upon proof of ide ntity, which is recorded on the back of 
the cheque, and the payee signs the original cash d isbursement voucher upon receipt of the 
cheque, but the finance office does not retain a co py of the payee’s proof of identification; 
• UNDP Bratislava does not maintain a mail log; 
•",21.pdf,undp brati,undp bratislava
U NON,UNDP,"While procedures for reconciling accounts between U NON and UNDP were in place, UNON 
did not attempt to reconcile the August 2002 UNDP Br atislava  account for more than a year 
after it was purportedly submitted; and 
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP 
offices. 
",21.pdf,u non,undp
UNDP,August 2002,"While procedures for reconciling accounts between U NON and UNDP were in place, UNON 
did not attempt to reconcile the August 2002 UNDP Br atislava  account for more than a year 
after it was purportedly submitted; and 
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP 
offices. 
",21.pdf,undp,august 2002
August 2002,more than a year,"While procedures for reconciling accounts between U NON and UNDP were in place, UNON 
did not attempt to reconcile the August 2002 UNDP Br atislava  account for more than a year 
after it was purportedly submitted; and 
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP 
offices. 
",21.pdf,august 2002,more than a year
more than a year,• UNEP Narobi,"While procedures for reconciling accounts between U NON and UNDP were in place, UNON 
did not attempt to reconcile the August 2002 UNDP Br atislava  account for more than a year 
after it was purportedly submitted; and 
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP 
offices. 
",21.pdf,more than a year,unep narobi
• UNEP Narobi,UNDP,"While procedures for reconciling accounts between U NON and UNDP were in place, UNON 
did not attempt to reconcile the August 2002 UNDP Br atislava  account for more than a year 
after it was purportedly submitted; and 
• UNEP Narobi stated that it has had several problems with fraudulent payments by UNDP 
offices. 
",21.pdf,unep narobi,undp
Repor,IOV,"The fact that UNON finance did not receive the Repor t AT 036 and the appended IOV 
although the cover letter to UNON was filed at UNDP Br atislava, suggests that someone with 
knowledge and access manipulated the system to dela y discovery of the fraud.  ",21.pdf,repor,iov
IOV,UNON,"The fact that UNON finance did not receive the Repor t AT 036 and the appended IOV 
although the cover letter to UNON was filed at UNDP Br atislava, suggests that someone with 
knowledge and access manipulated the system to dela y discovery of the fraud.  ",21.pdf,iov,unon
UNON,UNDP Br atislava,"The fact that UNON finance did not receive the Repor t AT 036 and the appended IOV 
although the cover letter to UNON was filed at UNDP Br atislava, suggests that someone with 
knowledge and access manipulated the system to dela y discovery of the fraud.  ",21.pdf,unon,undp br atislava
OIOS,UNDP,"In the light of the preceding findings and con clusions, OIOS makes the following 
recommendations: 
 
Recommendation 1:  It is recommended that UNDP revis e the system in place for verification 
and payment of travel authorization requests to enh ance and safeguard procedures and prevent 
fraud.",21.pdf,oios,undp
UNDP Brati,chec k,"Recommendation 2:  It is recommended that UNDP Brati slava retain copies of identification 
provided by payees to assist in later identity chec k requirements.",21.pdf,undp brati,chec k
Agenc,UNDP,"It is recommended that all Agenc ies utilizing the services of UNDP use the 
Atlas electronic payment and financial accounts sys tem which checks the authenticity of an 
authorization and creates an electronic log of even ts.  ",21.pdf,agenc,undp
UNDP,Atlas,"It is recommended that all Agenc ies utilizing the services of UNDP use the 
Atlas electronic payment and financial accounts sys tem which checks the authenticity of an 
authorization and creates an electronic log of even ts.  ",21.pdf,undp,atlas
UNDP,the Slovakian Police,"It is recommended that UNDP reque st the Slovakian Police to investigate 
this matter.",21.pdf,undp,the slovakian police
28 July 2004,# 02 16/04,"United Nations Nations Unies 
INTEROFFICE MEMORANDUM MEMORANDUM INTERIEUR 
DATE: 28 July 2004 
REFERENCE: ITF/04/02(Case# 02 16/04) 
TO: Mr .",35.pdf,28 july 2004,02 1604
Charles Brayshaw,John Todd,"Charles Brayshaw 
A: Acting Special Representative of the Secretary-General 
THROUGH: 
SIC DE: 
FROM: John Todd Senior Investigator 
Investigation Task Force 
SUBJECT:",35.pdf,charles brayshaw,john todd
April 2004,the Investigation Task Force,"In April 2004, the Investigation Task Force (ITF) received information alleging 
possible violations of UNMUK procurement procedures involving the purchase of 
insurance cover for the Pristina Airport commencing as of 1 April 2004, 
2.",35.pdf,april 2004,the investigation task force
the Investigation Task Force,UNMUK,"In April 2004, the Investigation Task Force (ITF) received information alleging 
possible violations of UNMUK procurement procedures involving the purchase of 
insurance cover for the Pristina Airport commencing as of 1 April 2004, 
2.",35.pdf,the investigation task force,unmuk
UNMUK,April 2004,"In April 2004, the Investigation Task Force (ITF) received information alleging 
possible violations of UNMUK procurement procedures involving the purchase of 
insurance cover for the Pristina Airport commencing as of 1 April 2004, 
2.",35.pdf,unmuk,april 2004
UNMIK,1 April 2004,"An agreement between UNMIK and the ICAA 
of 1 April 2004 specified the procedures as follows: 
""UNMIK shall, with the assistance of Iceland as described in WPVI-I of 
Schedule VI, if requested, obtain and maintain appropriate insurances for 
the airport, its equipment, facilities, operations, and sewices from 
reputable insurers.",35.pdf,unmik,1 april 2004
1 April 2004,Iceland,"An agreement between UNMIK and the ICAA 
of 1 April 2004 specified the procedures as follows: 
""UNMIK shall, with the assistance of Iceland as described in WPVI-I of 
Schedule VI, if requested, obtain and maintain appropriate insurances for 
the airport, its equipment, facilities, operations, and sewices from 
reputable insurers.",35.pdf,1 april 2004,iceland
Iceland,WPVI,"An agreement between UNMIK and the ICAA 
of 1 April 2004 specified the procedures as follows: 
""UNMIK shall, with the assistance of Iceland as described in WPVI-I of 
Schedule VI, if requested, obtain and maintain appropriate insurances for 
the airport, its equipment, facilities, operations, and sewices from 
reputable insurers.",35.pdf,iceland,wpvi
WPVI,Schedule VI,"An agreement between UNMIK and the ICAA 
of 1 April 2004 specified the procedures as follows: 
""UNMIK shall, with the assistance of Iceland as described in WPVI-I of 
Schedule VI, if requested, obtain and maintain appropriate insurances for 
the airport, its equipment, facilities, operations, and sewices from 
reputable insurers.",35.pdf,wpvi,schedule vi
ICAA,1 April 2004,"The insurance coverage arranged by ICAA commenced on 1 April 2004; 
however, previously obtained insurance policy for the airport - for the time-frame 
prior to 1 April 2004 - was not cancelled. 
",35.pdf,icaa,1 april 2004
1 April 2004,April 2004,"The insurance coverage arranged by ICAA commenced on 1 April 2004; 
however, previously obtained insurance policy for the airport - for the time-frame 
prior to 1 April 2004 - was not cancelled. 
",35.pdf,1 april 2004,april 2004
ITF,Airport,"Further, in interviews with the ITF, the Airport personnel did not know whether 
the ICAA was required to follow UNMIK procurement protocols.",35.pdf,itf,airport
Airport,ICAA,"Further, in interviews with the ITF, the Airport personnel did not know whether 
the ICAA was required to follow UNMIK procurement protocols.",35.pdf,airport,icaa
Internal Audit Department,ICAA,"However, a 
KTA Internal Audit Department staff member confirmed that no breaches of KTA 
rules, UNMIK procurement rules, or the above-mentioned agreement could be 
identified in the purchase of the new policy through the ICAA.",35.pdf,internal audit department,icaa
ITF,UNMIK,"The ITF hrther 
concludes that UNMIK procurement rules were not applicable to the ICAA as the 
agreement between UNMIK and the ICAA (for the government of Iceland) is 
prevailing and does not identify such a requirement. 
",35.pdf,itf,unmik
UNMIK,ICAA,"The ITF hrther 
concludes that UNMIK procurement rules were not applicable to the ICAA as the 
agreement between UNMIK and the ICAA (for the government of Iceland) is 
prevailing and does not identify such a requirement. 
",35.pdf,unmik,icaa
ICAA,UNMIK,"The ITF hrther 
concludes that UNMIK procurement rules were not applicable to the ICAA as the 
agreement between UNMIK and the ICAA (for the government of Iceland) is 
prevailing and does not identify such a requirement. 
",35.pdf,icaa,unmik
ICAA,Iceland,"The ITF hrther 
concludes that UNMIK procurement rules were not applicable to the ICAA as the 
agreement between UNMIK and the ICAA (for the government of Iceland) is 
prevailing and does not identify such a requirement. 
",35.pdf,icaa,iceland
